SM,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
,MALABOG,Y,2,P,
,TAHAO ROAD,Y,4,P,
,GUINOBATAN,N,0,P,
,RAWIS B,Y,2,P,
,,,,,
SM,,,,,
"August 17, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
Time Interval,Jeepney Route,Stopped (Y/N),Boarding Passengers,Fullness,Waiting Passengers
11:00 – 11:15 AM,TAHAO ROAD,Y,6,P,26
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,4,P,
,RAWIS A,Y,3,P,
,TAHAO ROAD,N,0,F,
,MALABOG,Y,3,P,
,POLANGUI,Y,2,P,
,TAHAO ROAD,Y,4,E,
,RAWIS B,Y,3,P,
,OAS,Y,2,P,
11:15 – 11:30 AM,TAHAO ROAD,Y,9,E,35
,TAHAO ROAD,Y,8,E,
,DIRETSO,Y,3,P,
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,4,P,
,MALABOG,Y,3,P,
,LIGAO,Y,2,P,
,RAWIS B,Y,3,P,
,TAHAO ROAD,Y,6,P,
,POLANGUI,Y,2,P,
11:30 – 11:45 AM,TAHAO ROAD,Y,12,E,44
,TAHAO ROAD,Y,10,E,
,RAWIS A,Y,5,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,4,P,
,OAS,Y,3,P,
,TAHAO ROAD,Y,7,E,
,MALABOG,Y,3,P,
,POLANGUI,Y,3,P,
,RAWIS B,Y,2,P,
11:45 – 12:00 PM,TAHAO ROAD,Y,14,E,52
,TAHAO ROAD,Y,11,E,
,DIRETSO,Y,6,P,
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,4,P,
,POLANGUI,Y,4,P,
,TAHAO ROAD,Y,9,E,
,MALABOG,N,0,P,
,RAWIS B,Y,3,P,
,TABACO,Y,3,P,
12:00 – 12:15 PM,TAHAO ROAD,Y,16,E,60
,TAHAO ROAD,Y,14,E,
,RAWIS A,Y,6,P,
,TAHAO ROAD,Y,10,E,
,DIRETSO,Y,5,P,
,TAHAO ROAD,N,0,F,
,OAS,Y,3,P,
,MALABOG,Y,4,P,
,RAWIS B,Y,3,P,
,POLANGUI,Y,3,P,
12:15 – 12:30 PM,TAHAO ROAD,Y,11,E,38
,TAHAO ROAD,Y,9,E,
,DIRETSO,Y,4,P,
,RAWIS A,N,0,P,
,TAHAO ROAD,Y,7,P,
,POLANGUI,Y,3,P,
,MALABOG,Y,2,P,
,RAWIS B,Y,3,P,
,GUINOBATAN,Y,2,P,
12:30 – 12:45 PM,TAHAO ROAD,Y,7,P,22
,TAHAO ROAD,Y,6,P,
,RAWIS A,Y,3,P,
,DIRETSO,Y,2,P,
,TAHAO ROAD,N,0,E,
,MALABOG,Y,2,P,
,POLANGUI,Y,1,P,
,RAWIS B,Y,1,P,
12:45 – 1:00 PM,TAHAO ROAD,Y,4,P,12
,TAHAO ROAD,Y,3,P,
,DIRETSO,Y,2,P,
,RAWIS A,Y,1,P,
,TAHAO ROAD,Y,2,P,
,,,,,
SM,,,,,
"August 17, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
Time Interval,Jeepney Route,Stopped (Y/N),Boarding Passengers,Fullness,Waiting Passengers
4:00 – 4:15 PM,TAHAO ROAD,Y,8,P,30
,TAHAO ROAD,Y,7,P,
,DIRETSO,Y,4,P,
,RAWIS A,Y,3,P,
,TAHAO ROAD,Y,6,E,
,TAHAO ROAD,N,0,F,
,MALABOG,Y,2,P,
,RAWIS B,Y,3,P,
,POLANGUI,Y,2,P,
,TABACO,Y,2,P,
4:15 – 4:30 PM,TAHAO ROAD,Y,10,E,42
,TAHAO ROAD,Y,8,E,
,DIRETSO,Y,5,P,
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,4,P,
,MALABOG,Y,3,P,
,POLANGUI,Y,20,P,
,TAHAO ROAD,Y,7,P,
,RAWIS B,Y,2,P,
,LIGAO,Y,2,P,
4:30 – 4:45 PM,TAHAO ROAD,Y,13,E,55
,TAHAO ROAD,Y,11,E,
,DIRETSO,Y,6,P,
,TAHAO ROAD,Y,9,F,
,RAWIS A,Y,5,P,
,TAHAO ROAD,N,0,F,
,OAS,Y,3,P,
,MALABOG,Y,3,P,
,POLANGUI,Y,4,P,
,RAWIS B,Y,3,P,
4:45 – 5:00 PM,TAHAO ROAD,Y,17,E,70
,TAHAO ROAD,Y,15,E,
,DIRETSO,Y,7,P,
,TAHAO ROAD,N,0,F,
,RAWIS A,Y,6,P,
,TAHAO ROAD,Y,12,E,
,POLANGUI,Y,5,P,
,MALABOG,Y,4,P,
,TABACO,Y,4,P,
,RAWIS B,Y,3,P,
5:00 – 5:15 PM,TAHAO ROAD,Y,20,E,80
,TAHAO ROAD,Y,17,E,
,DIRETSO,Y,9,P,
,TAHAO ROAD,Y,14,E,
,RAWIS A,Y,5,F,
,TAHAO ROAD,N,0,F,
,MALABOG,Y,4,P,
,POLANGUI,Y,16,P,
,OAS,Y,9,P,
,RAWIS B,Y,4,P,
5:15 – 5:30 PM,TAHAO ROAD,Y,15,E,62
,TAHAO ROAD,Y,13,E,
,DIRETSO,Y,7,P,
,TAHAO ROAD,Y,11,E,
,RAWIS A,Y,4,P,
,TAHAO ROAD,N,0,F,
,POLANGUI,Y,15,P,
,MALABOG,Y,3,P,
,RAWIS B,Y,4,P,
,TABACO,Y,3,P,
5:30 – 5:45 PM,TAHAO ROAD,Y,10,E,34
,TAHAO ROAD,Y,9,E,
,DIRETSO,Y,4,P,
,TAHAO ROAD,Y,7,P,
,RAWIS A,Y,3,P,
,POLANGUI,Y,14,P,
,TAHAO ROAD,N,0,F,
,MALABOG,Y,2,P,
,RAWIS B,Y,2,P,
5:45 – 6:00 PM,TAHAO ROAD,Y,6,P,16
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,3,P,
,RAWIS A,Y,2,P,
,TAHAO ROAD,Y,4,P,
,POLANGUI,Y,17,,
,GUINOBATAN,Y,10,,
