DARAGA PUBLIC MARKET,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,3,E,
,POLANGUI,Y,2,P,
,ALTERNATE,Y,4,F,
,TAHAO ROAD,N,0,F,
,RAWIS A,N,0,F,
,DIRETSO,Y,2,F,
,L2,Y,2,P,
,TAHAO ROAD,Y,4,E,
,ALTERNATE,Y,3,F,
,RAWIS B,Y,2,F,
,OAS,Y,1,F,
,TAHAO ROAD,Y,5,P,
11:30 – 11:45 AM,TAHAO ROAD,Y,6,F,38
,DIRETSO,Y,4,F,
,ALTERNATE,Y,5,P,
,RAWIS A,Y,3,F,
,RAWIS B,Y,2,P,
,CAMALIG,Y,2,P,
,TAHAO ROAD,Y,4,F,
,POLANGUI,N,0,E,
,L1,Y,1,F,
,DIRETSO,Y,3,F,
,TAHAO ROAD,N,0,F,
,ALTERNATE,Y,4,P,
,RAWIS B,Y,3,P,
,DIRETSO,N,0,F,
11:45 – 12:00 PM,TAHAO ROAD,Y,7,P,45
,DIRETSO,Y,5,F,
,ALTERNATE,Y,6,P,
,RAWIS B,Y,4,F,
,LIGAO,Y,3,P,
,RAWIS A,Y,3,F,
,L2,Y,4,P,
,TAHAO ROAD,N,0,F,
,GUINOBATAN,Y,2,P,
,ALTERNATE,N,0,E,
,OAS,N,0,P,
,DIRETSO,Y,4,F,
,TAHAO ROAD,Y,4,F,
,RAWIS B,Y,3,P,
12:00 – 12:15 PM,TAHAO ROAD,Y,5,P,40
,RAWIS B,Y,3,P,
,L2,Y,3,P,
,TAHAO ROAD,Y,4,P,
,ALTERNATE,N,0,P,
,DIRETSO,Y,3,P,
,TAHAO ROAD,Y,3,F,
,RAWIS A,N,0,P,
,OAS,Y,2,F,
,CAMALIG,N,0,P,
,TAHAO ROAD,Y,3,E,
,RAWIS B,Y,2,E,
,ALTERNATE,N,0,F,
,TAHAO ROAD,Y,4,P,
,POLANGUI,Y,1,P,
12:15 – 12:30 PM,TAHAO ROAD,Y,4,F,33
,RAWIS A,Y,2,F,
,POLANGUI,Y,2,F,
,DIRETSO,Y,4,F,
,ALTERNATE,Y,3,P,
,RAWIS B,Y,3,P,
,LIGAO,Y,2,F,
,OAS,N,0,F,
,TAHAO ROAD,Y,3,P,
,L2,Y,1,P,
,TAHAO ROAD,N,0,F,
,DIRETSO,Y,3,E,
,RAWIS A,Y,1,P,
,TAHAO ROAD,Y,4,P,
12:30 – 12:45 PM,TAHAO ROAD,Y,5,P,26
,OAS,Y,3,P,
,RAWIS A,Y,2,E,
,ALTERNATE,N,0,F,
,L1,Y,1,P,
,CAMALIG,Y,2,P,
,DIRETSO,Y,3,F,
,RAWIS B,Y,3,F,
,TAHAO ROAD,Y,3,P,
,RAWIS B,Y,2,P,
,OAS,Y,2,F,
,ALTERNATE,Y,3,P,
,L2,Y,1,P,
12:45 – 1:00 PM,RAWIS B,Y,2,P,20
,TAHAO ROAD,Y,4,P,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
,RAWIS A,Y,1,P,
,CAMALIG,N,0,P,
,OAS,N,0,P,
,TAHAO ROAD,Y,3,P,
,RAWIS B,N,0,F,
,,,,,
DARAGA PUBLIC MARKET,,,,,
"August 17, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
4:00 – 4:15 PM,TAHAO ROAD,Y,4,P,18
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,RAWIS B,Y,3,E,
,RAWIS A,Y,2,E,
,POLANGUI,Y,1,P,
,TAHAO ROAD,Y,5,P,
,OAS,Y,2,P,
,CAMALIG,N,0,F,
,L2,N,0,P,
,DIRETSO,Y,2,P,
,ALTERNATE,N,0,F,
,RAWIS B,Y,2,P,
4:15 – 4:30 PM,TAHAO ROAD,Y,6,E,25
,DIRETSO,Y,4,F,
,ALTERNATE,Y,3,P,
,RAWIS A,Y,2,P,
,RAWIS B,Y,3,P,
,L1,Y,1,P,
,CAMALIG,Y,2,P,
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,3,F,
,POLANGUI,N,0,F,
,OAS,Y,2,P,
,LIGAO,Y,2,P,
,ALTERNATE,Y,3,P,
4:30 – 4:45 PM,TAHAO ROAD,Y,8,P,34
,DIRETSO,Y,5,P,
,ALTERNATE,Y,4,P,
,RAWIS A,N,0,F,
,RAWIS B,Y,3,P,
,CAMALIG,Y,3,P,
,L2,Y,2,P,
,DIRETSO,Y,4,F,
,POLANGUI,Y,2,P,
,TAHAO ROAD,Y,6,E,
,OAS,N,0,F,
,RAWIS A,Y,2,P,
,LIGAO,N,0,F,
,TAHAO ROAD,Y,7,P,
4:45 – 5:00 PM,TAHAO ROAD,Y,9,E,42
,DIRETSO,Y,7,P,
,ALTERNATE,Y,5,F,
,RAWIS A,Y,3,P,
,RAWIS B,Y,4,P,
,CAMALIG,N,0,F,
,DIRETSO,Y,5,F,
,POLANGUI,Y,3,P,
,L1,Y,2,P,
,TAHAO ROAD,Y,7,E,
,OAS,Y,3,P,
,LIGAO,Y,3,P,
,TAHAO ROAD,N,0,F,
5:00 – 5:15 PM,TAHAO ROAD,Y,11,E,52
,DIRETSO,Y,8,P,
,ALTERNATE,N,0,F,
,RAWIS A,Y,4,P,
,RAWIS B,Y,5,F,
,CAMALIG,Y,4,P,
,DIRETSO,N,0,F,
,POLANGUI,Y,3,P,
,L2,Y,3,P,
,TAHAO ROAD,Y,8,P,
,OAS,N,0,F,
,RAWIS A,Y,3,F,
,LIGAO,Y,2,P,
,TAHAO ROAD,Y,9,E,
5:15 – 5:30 PM,TAHAO ROAD,Y,8,P,44
,DIRETSO,Y,6,P,
,ALTERNATE,Y,4,P,
,RAWIS A,N,0,F,
,RAWIS B,Y,4,P,
,TAHAO ROAD,Y,7,P,
,CAMALIG,Y,3,P,
,DIRETSO,Y,4,F,
,POLANGUI,N,0,F,
,L1,Y,2,P,
,OAS,Y,2,P,
,RAWIS B,Y,3,E,
,TAHAO ROAD,Y,6,P,
5:30 – 5:45 PM,TAHAO ROAD,Y,6,P,30
,DIRETSO,Y,4,P,
,ALTERNATE,Y,3,P,
,RAWIS A,Y,2,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,Y,5,E,
,CAMALIG,Y,2,P,
,DIRETSO,N,0,F,
,POLANGUI,Y,1,P,
,L2,Y,1,P,
,TAHAO ROAD,Y,4,E,
,OAS,Y,1,P,
,LIGAO,Y,1,P,
5:45 – 6:00 PM,TAHAO ROAD,Y,4,P,16
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,RAWIS A,Y,1,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,Y,3,E,
,CAMALIG,N,0,P,
,DIRETSO,Y,2,P,
,POLANGUI,Y,1,P,
,OAS,Y,1,P,
,LIGAO,N,0,P,
